title,product_price,special_price,stock_status,brand,product_model,warranty,short_description,chipset,memory,storage,battery,operating_system,color
Asus VivoBook 15 K513EQ OLED 15.6 Inch Full HD Display Core I5 11th Gen 8GB RAM 512GB SSD Laptop With MX350 2GB Graphics (Hearty Gold),"100,000৳","92,500৳",In Stock,Asus,VivoBook 15 K513EQ OLED,2 Years,"['Intel Core i5-1135G7 Processor', '8GB DDR4 Ram | 512GB M.2 SSD', 'NVIDIA MX350 2GB Graphics', '15.6"" OLED Full HD GL Display']",Intel SoC Platform,"8GB 3200MHz DDR4,
Memory Max Up To:16GB",512GB PCIe Gen3 X2 M.2 SSD,"42WHrs, 3S1P, 3-Cell Li-Ion",Windows 10 Home,Hearty Gold
Asus VivoBook 15 K513EQ 15.6 Inch Full HD Display Core I7 11th Gen 8GB RAM 512GB SSD Laptop With MX350 2GB Graphics,"113,000৳","92,500৳",In Stock,Asus,VivoBook 15 K513EQ,2 Years,"['Intel Core i7 1165G7 Processor ', 'Nvidia MX350 Graphics', '512GB NVMe PCIe SSD', '8GB DDR4 RAM ']",Intel SoC Platform,"8GB 3200MHz DDR4 ,
Memory Max Up To:16GB",512GB PCIe Gen3 X2 M.2 SSD,"42WHrs, 3S1P, 3-Cell Li-Ion",Windows 10,Hearty Gold
Asus VivoBook 15 K513EQ 15.6 Inch FHD Display Intel I5 11th Gen MX350 2GB 8GB RAM 512GB SSD Laptop,0৳,"92,500৳",In Stock,Asus,K513EQ,2 Years,"['Intel Core i5-1135G7', '8GB DDR4 Ram', '512GB M.2 SSD', 'NVIDIA GeForce MX350']",Intel SoC Platform,"8GB 3200MHz DDR4 , Memory Max Up To:16GB",512GB PCIe Gen3 X2 M.2 SSD,"42WHrs, 3S1P, 3-Cell Li-Ion",Windows 10,"Hearty Gold
Black"
Asus VivoBook 14 K413EQ 14 Inch Full HD Display Core I7 11th Gen 16GB RAM 512GB SSD Laptop With MX350 2GB Graphics,"115,000৳","92,500৳",In Stock,Asus,VivoBook 14 K413EQ,2 Years,"['Audio by ICEpower,', 'Built-in speaker,', 'Built-in microphone,', 'with Cortana support']",Intel SoC Platform,"16GB 3200MHz DDR4 , Memory Max Up To:16GB",512GB M.2 NVMe PCIe 3.0 SSD,"42WHrs, 3S1P, 3-Cell Li-Ion",Windows 10,"Indie Black (AM566W-K413EQ)
Hearty Gold (AM565W-K413EQ)"
LENOVO IDEAPAD SLIM 3I INTEL CORE I5 16GB RAM 512GB SSD 15.6INCH FULL HD DISPLAY LAPTOP,"73,500৳","92,500৳",In Stock,Lenovo,IdeaPad Slim 3i,2 Years,"['Intel Core I5-1155G7', '16GB DIMM DDR4-3200', 'Capacity 512GB', '15.6 Inch FHD (1920x1080)']",Firmware TPM 2.0,Up To 16GB (8GB Soldered + 8GB SO-DIMM) DDR4-3200 Offering,512GB,Integrated 45Wh,FreeDos,Arctic Grey
MSI MODERN 15 B13M CORE I5 13TH GEN 16GB RAM 512GB SSD 15.6 INCH IPS FHD DISPLAY CLASSIC BLACK LAPTOP (B13M-478BD-CB 51335U16GXXD X11EMH),"91,500৳","92,500৳",In Stock,MSI,MODERN 15 B13M,2 Years,"['Intel Core i5-1335U ', '15.6 Inch IPS FHD', '16GB DDR4 3200MHz', '512GB NVMe PCIe SSD']",Firmware TPM 2.0,"RAM- 16GB
RAM Type- DDR4
Removable- No
Bus Speed- 3200MHz
Total RAM Slot- N/A
Max RAM Capacity- 16GB","Storage Type- NVMe PCIe Gen3x4 SSD
Storage Capacity- 512GB
Extra M.2 Slot- N/A
Storage Upgrade- Installed SSD Can Be Upgradeable","Battery Type: 3-Cell
Battery Capacity: 39.3Whr
Adapter Type: 65W Adapter",Windows 11 Home,Classic Black
HP PROBOOK 450 G9 15.6 INCH FULL HD DISPLAY INTEL I5 12TH GEN 8GB RAM 512GB SSD LAPTOP,"87,000৳","82,790৳",In Stock,HP,ProBook 450 G9,2 Years,"['Processor: Intel Core i5-1235U ', 'RAM: 8GB DDR4,', 'Storage: 512 GB SSD', 'Display: 15.6"" FHD (1920 x 1080)']",Firmware TPM 2.0,8GB 3200 Mhz DDR4,512GB PCIe NVMe M.2 TLC SSD,"HP Long Life 3-Cell, Li-Ion Polymer
51 Wh Capacity
45 W USB-C Power Adapter",FREE DOS,Silver
MSI Modern 15 B7M AMD Ryzen 7 7730U 16GB RAM 512GB SSD 15.6 Inch FHD IPS Display Classic Black Laptop ( 9S7-15HK12-269),"86,500৳","82,790৳",In Stock,MSI,Modern 15 B7M,2 Year'S,"['AMD Ryzen 7 7730U', '15.6"" FHD LED Display', '16GB RAM | 512GB SSD', 'AMD Radeon Graphics']",Firmware TPM 2.0,8GB 3200 Mhz DDR4,512GB PCIe NVMe M.2 TLC SSD,"HP Long Life 3-Cell, Li-Ion Polymer
51 Wh Capacity
45 W USB-C Power Adapter",Windows 11,Classic Black
MSI MODERN 14 C13M CORE I7 13TH GEN 16GB RAM 512GB SSD 14 INCH FULL HD DISPLAY CLASSIC BLACK LAPTOP (C13M-649BD-CB71355U16GXXDX11EMH),"102,900৳","101,000৳",In Stock,MSI,Modern 14 C13M,2 Years,"['Intel Core i7-1355U ', '14 Inch IPS FHD Display ', '16GB 3200MHz DDR4', '512GB NVMe PCIe SSD']",Firmware TPM 2.0,"RAM: 16GB
RAM Type: DDR4
Bus Speed: 3200MHz","SSD- 512GB NVMe PCIe Gen3x4 SSD
SSD Slot- 1x M.2 SSD Slot (NVMe PCIe Gen3)","Battery- 3 Cell
Battery Capacity- 39.3Wh
Battery Type- Li-Ion
Power Adapter- 65W
Adapter Type- AC Adapter",Windows 11 Home,Classic Black
MSI MODERN 14 C13M 14 INCH FULL HD DISPLAY INTEL I5 13TH GEN 16GB RAM 512GB SSD LAPTOP,"89,500৳","101,000৳",In Stock,MSI,Modern 14 C13M,2 Years,"['Intel Core I5-1335U ', '14 Inch IPS FHD ', '16GB DDR4 3200MHz ', '512GB NVMe PCIe SSD']",Firmware TPM 2.0,16GB 3200MHz DDR4,512GB NVMe PCIe Gen3x4 SSD,"3-Cell
39.3Whr",Windows 11 Home,Classic Black
